# Short replacements where phone-size clue cells would clip longer originals.
НЕЙРОН|Нервная клетка
НАРОД|Жители одной страны
ВИНА|Груз за проступок
КАРСТ|Пещерный рельеф
КЛЕЙ|Скрепляет без гвоздей
АТОЛЛ|Коралловое кольцо
ХОРЕЙ|Ударный нечётный слог
МОЗАИКА|Узор из кусочков
ОКТАВА|Восемь ступеней звука
ВЕЧЕ|Собрание Новгорода
БЕРЕТ|Шапка без полей
ОЛЕНЬ|Копытный с рогами
ТАПАС|Испанские закуски
ВОРОБЕЙ|Слово — не эта птица
ФАКТ|Подтверждённое событие
ПЕТРУШКА|Зелень и кукла
МИТОЗ|Деление клетки надвое
ХУМУС|Закуска из нута
КОЛОНИЯ|Заморская зависимая земля
РЕФОРМА|Перемены без бунта
УКАЗ|Воля верховной власти
ГУАКАМОЛЕ|Пюре из авокадо
ИЗОТОП|Нейтронный вариант атома
БАРСУК|Зверь с маской на морде
МАГНИТ|Притягивает железо
КАМЫШ|Прибрежный стебель
МЫШКА|Грызун или курсор
ТРОПИК|Широта зенитного солнца
ПИСЬМО|Бумажное послание
РОЯЛЬ|Клавиши под крышкой
СОНЕТ|Стих в 14 строк
ЖИРАФ|Жвачное с длинной шеей
ЭПИЗОД|Часть фильма или книги
КАПИЛЛЯР|Сосуд тоньше волоса
РАВИОЛИ|Паста с начинкой
ПЕТУХ|Жареный клюнет
ГИМН|Песня государства
ЗЕРНО|Хлебное семя
АНИМАЦИЯ|Ожившие рисунки
ШЕЛЬФ|Подводный край материка
ФЕРМА|Сельское хозяйство
ФЛАМИНГО|Розовая птица мелководья
ПОЭМА|Большой рассказ в стихах
СОЛИСТ|Один впереди оркестра
ЛЕГИОН|Войско древнего Рима
КАСКАДЁР|Актёр опасных трюков
КАЮТА|Комната на корабле
ПОЛИМЕР|Цепь одинаковых звеньев
ИМПЕРИЯ|Государство многих народов
СТРИЖ|Птица почти всегда в небе
ПЫЛЬЦА|Пыль цветочных тычинок
РЕЖИССЁР|Постановщик фильма
ФЛАМЕНКО|Танец под испанский ритм
ГЕЙША|Японская артистка
КВАНТ|Малая порция энергии
