# Existing answer|new original newspaper clue|difficulty
АДРЕС|Куда письмо ищет дорогу|E
АЛМАЗ|Углерод в твёрдой решётке|H
АПЕЛЬСИН|Солнце из цитрусовой рощи|E
АРЕНА|Центр цирка и состязаний|M
АРОМАТНЫЙ|Выдающий себя запахом|M
БАБОЧКА|Чешуекрылая гостья цветка|H
БАЛЕТ|Танец в пуантах и пачке|E
БАНК|Хранитель вкладов и кредитов|M
БАРАБАН|Ритм натянутой кожи|M
БАРЖА|Речное судно без двигателя|H
БАРСУК|Норный зверь с полосатой мордой|E
БАРХАТ|Ткань с разрезным ворсом|H
БАШМАК|Обувь ниже щиколотки|M
БЕРЕГ|Граница суши и воды|E
БЕРЕТ|Французский убор без козырька|E
БЛЮДО|И тарелка и угощение|H
БУКЕТ|Цветы в общем объятии|E
БУРЯ|Ветер с недобрым характером|M
ВАЗА|Цветочный сосуд для стола|E
ВАСИЛЁК|Синяя точка в ржаном поле|M
ВЕДРО|Цилиндр с дужкой для воды|E
ВЕРШИНА|Точка куда ведёт восхождение|M
ВИНА|Тяжесть совершённого проступка|M
ВИНО|Напиток брожения винограда|M
ГЕРБАРИЙ|Ботаника между листами бумаги|H
ГИМН|Страна в торжественном напеве|H
ГОРИЗОНТ|Мнимая встреча неба с сушей|M
ГОРОД|Поселение с улицами и мэром|E
ГРАНЬ|Плоский лик многогранника|H
ГРОЗА|Погода с громом и разрядами|E
ДЖАЗ|Импровизация под синкопу|H
ДРОЗД|Певчий родственник соловья|H
ДЮНА|Песчаный холм работы ветра|M
ДЯТЕЛ|Лесной барабанщик в перьях|E
ЖАНР|Род произведения искусства|H
ЖИРАФ|Жвачное с семью шейными костями|H
ЖЮРИ|Судьи без судебных мантий|E
ЗВЁЗДНЫЙ|О ночи с россыпью светил|M
ЗЕРНО|И семя и мера хлебного урожая|M
ЗОЛОТОЙ|Цвет благородного металла|M
ИЗЮМ|Виноград после сушки|E
КАМЫШ|Прибрежный стебель для циновки|H
КАПУСТА|Овощ в одежде из листьев|E
КАЮТА|Маленькая комната на корабле|E
КЛАВИША|Нажми её для одной ноты|M
КЛАН|Родство как основа союза|M
КЛЕЙ|Соединяет без нитки и гвоздя|E
КЛУБОК|Нить в форме шара|M
КОВЁР|Узорная ткань под ногами|M
КОЗА|Рогатый источник молока|E
КОЛОС|Злаковая ось с зерновками|H
КОСТЁР|Огонь под открытым небом|E
КРЕВЕТКА|Десятиногий рачок к столу|H
КРЕНДЕЛЬ|Хлебная петля с изгибом|M
КРЫША|У здания над головой|M
ЛАДОНЬ|Читателю линий подставляют её|H
ЛАМПА|В ней свет рождается по щелчку|M
ЛАСТОЧКА|Птица с вильчатым хвостом|H
ЛЕОПАРД|Пятнистый хищник саванны|M
