# category|answer|original clue|difficulty (E/M/H)
Биология|АКСОН|Нервный импульс идёт по нему|M
Биология|ГЕНОМ|Вся наследственная книга вида|M
Биология|МИТОЗ|Деление без смены числа хромосом|H
Биология|ФЕРМЕНТ|Белковый ускоритель реакции|M
Биология|ПЫЛЬЦА|Мужские клетки в цветочной пыли|M
Биология|ЛИШАЙНИК|Союз гриба и водоросли|M
Биология|МИЦЕЛИЙ|Невидимая сеть грибных нитей|H
Биология|ХИТИН|Материал панциря жука|M
Биология|НЕКТАР|Цветочная плата опылителю|M
Биология|АМЁБА|Одноклеточная без постоянной формы|M
Биология|ЗИГОТА|Первая клетка нового организма|H
Биология|ПЛАНКТОН|Пассажиры морских течений|M
Биология|ГИБРИД|Потомок разных сортов|E
Биология|РАКОВИНА|Известковый дом моллюска|E
Биология|СЕМЯДОЛЯ|Первый лист зародыша|H
Биология|ПАПОРОТНИК|Лесное растение без цветков|M
Биология|БАКТЕРИЯ|Клетка без оформленного ядра|M
Биология|КАПИЛЛЯР|Тончайший кровеносный сосуд|M
Биология|СИМБИОЗ|Соседство с взаимной выгодой|H
Биология|ПЛАВНИК|Рыбий инструмент движения|E
Культуры стран|КИМОНО|Японский халат с поясом|E
Культуры стран|САМБА|Карнавальный ритм Бразилии|E
Культуры стран|СИЕСТА|Полуденный перерыв южан|M
Культуры стран|ФИЕСТА|Испанский праздник на улице|M
Культуры стран|ХАНАМИ|Японское любование сакурой|H
Культуры стран|ХЕННА|Растение для узоров на коже|M
Культуры стран|МАНДАЛА|Узор для медитации в Индии|H
Культуры стран|БАТИК|Роспись ткани горячим воском|M
Культуры стран|ИКЕБАНА|Японское искусство букета|M
Культуры стран|ТАНГО|Танец родом из Рио-де-ла-Платы|M
Культуры стран|САРИ|Индийский наряд без швов|E
Культуры стран|ФЬОРД|Норвежский залив с отвесами|M
Культуры стран|ХУМУС|Нутовая закуска Ближнего Востока|M
Культуры стран|МАСАЛА|Индийская смесь пряностей|H
Культуры стран|КИЛТ|Шотландская юбка в клетку|E
Культуры стран|ЮРТА|Переносной дом кочевника|E
Культуры стран|ТАПАС|Испанские закуски к беседе|M
Культуры стран|САУНА|Финская жаркая комната|E
Культуры стран|РЕГГИ|Ямайский ритм с акцентом|M
Культуры стран|ГЕЙША|Японская хранительница искусств|M
География|ДЕЛЬТА|Речная развилка перед морем|M
География|ТАЙГА|Лесной пояс Сибири|E
География|АТОЛЛ|Кольцо кораллов вокруг лагуны|H
География|ОАЗИС|Островок зелени среди песков|E
География|МЕРИДИАН|Линия от полюса до полюса|M
География|ПАРАЛЛЕЛЬ|Широтная линия на глобусе|M
География|ЭКВАТОР|Нулевая земная широта|E
География|МУССОН|Ветер с сезонной сменой курса|M
География|САВАННА|Травяная равнина с акациями|M
География|КАРСТ|Рельеф работы подземных вод|H
География|БАРХАН|Песчаный серп пустыни|M
География|ИСТОК|Начало пути реки|E
